Expression	Value	Location	Type	
Highs	Error (col 1): Unknown or ambiguous symbol. Highs			
Lows	Error (col 1): Unknown or ambiguous symbol. Lows			
Highs_A1	Error (col 1): Unknown or ambiguous symbol. Highs_A1			
[547]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002B5	HAL::I2CIntr::I2CLogs_t	
[548]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002B6	HAL::I2CIntr::I2CLogs_t	
[549]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002B7	HAL::I2CIntr::I2CLogs_t	
[550]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002B8	HAL::I2CIntr::I2CLogs_t	
[551]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002B9	HAL::I2CIntr::I2CLogs_t	
[552]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002BA	HAL::I2CIntr::I2CLogs_t	
[553]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002BB	HAL::I2CIntr::I2CLogs_t	
[554]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002BC	HAL::I2CIntr::I2CLogs_t	
[555]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002BD	HAL::I2CIntr::I2CLogs_t	
[556]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002BE	HAL::I2CIntr::I2CLogs_t	
[557]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002BF	HAL::I2CIntr::I2CLogs_t	
[558]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002C0	HAL::I2CIntr::I2CLogs_t	
[559]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002C1	HAL::I2CIntr::I2CLogs_t	
[560]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002C2	HAL::I2CIntr::I2CLogs_t	
[561]	I2C_LOG_BTF_MASTER_RX_SIZE_2_STOPED	0x200002C3	HAL::I2CIntr::I2CLogs_t	
[562]	I2C_LOG_TXN_DONE	0x200002C4	HAL::I2CIntr::I2CLogs_t	
[563]	I2C_LOG_TXN_QUEUE_EMPTY	0x200002C5	HAL::I2CIntr::I2CLogs_t	
[564]	I2C_LOG_START_MASTER_TXRX	0x200002C6	HAL::I2CIntr::I2CLogs_t	
[565]	I2C_LOG_TXN_QUEUED	0x200002C7	HAL::I2CIntr::I2CLogs_t	
[566]	I2C_LOG_SB_MASTER_TX	0x200002C8	HAL::I2CIntr::I2CLogs_t	
[567]	I2C_LOG_TXN_QUEUED	0x200002C9	HAL::I2CIntr::I2CLogs_t	
[568]	I2C_LOG_TXN_QUEUED	0x200002CA	HAL::I2CIntr::I2CLogs_t	
[569]	I2C_LOG_TXN_QUEUED	0x200002CB	HAL::I2CIntr::I2CLogs_t	
[570]	I2C_LOG_TXN_QUEUED	0x200002CC	HAL::I2CIntr::I2CLogs_t	
[571]	I2C_LOG_TXN_QUEUED	0x200002CD	HAL::I2CIntr::I2CLogs_t	
[572]	I2C_LOG_TXN_QUEUED	0x200002CE	HAL::I2CIntr::I2CLogs_t	
[573]	I2C_LOG_TXN_QUEUED	0x200002CF	HAL::I2CIntr::I2CLogs_t	
[574]	I2C_LOG_TXN_QUEUED	0x200002D0	HAL::I2CIntr::I2CLogs_t	
[575]	I2C_LOG_TXN_QUEUE_ERROR	0x200002D1	HAL::I2CIntr::I2CLogs_t	
[576]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x200002D2	HAL::I2CIntr::I2CLogs_t	
[577]	I2C_LOG_TXE	0x200002D3	HAL::I2CIntr::I2CLogs_t	
[578]	I2C_LOG_TXE	0x200002D4	HAL::I2CIntr::I2CLogs_t	
[579]	I2C_LOG_TXE_DONE	0x200002D5	HAL::I2CIntr::I2CLogs_t	
[580]	I2C_LOG_TXN_DONE	0x200002D6	HAL::I2CIntr::I2CLogs_t	
[581]	I2C_LOG_TXN_DEQUEUED	0x200002D7	HAL::I2CIntr::I2CLogs_t	
[582]	I2C_LOG_TXE	0x200002D8	HAL::I2CIntr::I2CLogs_t	
[583]	I2C_LOG_TXE_MASTER_TX_REPEATED_START	0x200002D9	HAL::I2CIntr::I2CLogs_t	
[584]	I2C_LOG_SB_MASTER_RX_REPEATED_START	0x200002DA	HAL::I2CIntr::I2CLogs_t	
[585]	I2C_LOG_ADDR_INTR_MASTER_RX_SIZE_2	0x200002DB	HAL::I2CIntr::I2CLogs_t	
[586]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002DC	HAL::I2CIntr::I2CLogs_t	
[587]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002DD	HAL::I2CIntr::I2CLogs_t	
[588]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002DE	HAL::I2CIntr::I2CLogs_t	
[589]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002DF	HAL::I2CIntr::I2CLogs_t	
[590]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002E0	HAL::I2CIntr::I2CLogs_t	
[591]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002E1	HAL::I2CIntr::I2CLogs_t	
[592]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002E2	HAL::I2CIntr::I2CLogs_t	
[593]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002E3	HAL::I2CIntr::I2CLogs_t	
[594]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002E4	HAL::I2CIntr::I2CLogs_t	
[595]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002E5	HAL::I2CIntr::I2CLogs_t	
[596]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002E6	HAL::I2CIntr::I2CLogs_t	
[597]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002E7	HAL::I2CIntr::I2CLogs_t	
[598]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002E8	HAL::I2CIntr::I2CLogs_t	
[599]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002E9	HAL::I2CIntr::I2CLogs_t	
[600]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002EA	HAL::I2CIntr::I2CLogs_t	
[601]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002EB	HAL::I2CIntr::I2CLogs_t	
[602]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002EC	HAL::I2CIntr::I2CLogs_t	
[603]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002ED	HAL::I2CIntr::I2CLogs_t	
[604]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002EE	HAL::I2CIntr::I2CLogs_t	
[605]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002EF	HAL::I2CIntr::I2CLogs_t	
[606]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002F0	HAL::I2CIntr::I2CLogs_t	
[607]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002F1	HAL::I2CIntr::I2CLogs_t	
[608]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002F2	HAL::I2CIntr::I2CLogs_t	
[609]	I2C_LOG_BTF_MASTER_RX_SIZE_2_STOPED	0x200002F3	HAL::I2CIntr::I2CLogs_t	
[610]	I2C_LOG_TXN_DONE	0x200002F4	HAL::I2CIntr::I2CLogs_t	
[611]	I2C_LOG_TXN_DEQUEUED	0x200002F5	HAL::I2CIntr::I2CLogs_t	
[612]	I2C_LOG_SB_MASTER_TX	0x200002F6	HAL::I2CIntr::I2CLogs_t	
[613]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x200002F7	HAL::I2CIntr::I2CLogs_t	
[614]	I2C_LOG_TXE_MASTER_TX_REPEATED_START	0x200002F8	HAL::I2CIntr::I2CLogs_t	
[615]	I2C_LOG_SB_MASTER_RX_REPEATED_START	0x200002F9	HAL::I2CIntr::I2CLogs_t	
[616]	I2C_LOG_ADDR_INTR_MASTER_RX_SIZE_2	0x200002FA	HAL::I2CIntr::I2CLogs_t	
[617]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002FB	HAL::I2CIntr::I2CLogs_t	
[618]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002FC	HAL::I2CIntr::I2CLogs_t	
[619]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002FD	HAL::I2CIntr::I2CLogs_t	
[620]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002FE	HAL::I2CIntr::I2CLogs_t	
[621]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200002FF	HAL::I2CIntr::I2CLogs_t	
[622]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000300	HAL::I2CIntr::I2CLogs_t	
[623]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000301	HAL::I2CIntr::I2CLogs_t	
[624]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000302	HAL::I2CIntr::I2CLogs_t	
[625]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000303	HAL::I2CIntr::I2CLogs_t	
[626]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000304	HAL::I2CIntr::I2CLogs_t	
[627]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000305	HAL::I2CIntr::I2CLogs_t	
[628]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000306	HAL::I2CIntr::I2CLogs_t	
[629]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000307	HAL::I2CIntr::I2CLogs_t	
[630]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000308	HAL::I2CIntr::I2CLogs_t	
[631]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000309	HAL::I2CIntr::I2CLogs_t	
[632]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000030A	HAL::I2CIntr::I2CLogs_t	
[633]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000030B	HAL::I2CIntr::I2CLogs_t	
[634]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000030C	HAL::I2CIntr::I2CLogs_t	
[635]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000030D	HAL::I2CIntr::I2CLogs_t	
[636]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000030E	HAL::I2CIntr::I2CLogs_t	
[637]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000030F	HAL::I2CIntr::I2CLogs_t	
[638]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000310	HAL::I2CIntr::I2CLogs_t	
[639]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000311	HAL::I2CIntr::I2CLogs_t	
[640]	I2C_LOG_BTF_MASTER_RX_SIZE_2_STOPED	0x20000312	HAL::I2CIntr::I2CLogs_t	
[641]	I2C_LOG_TXN_DONE	0x20000313	HAL::I2CIntr::I2CLogs_t	
[642]	I2C_LOG_TXN_DEQUEUED	0x20000314	HAL::I2CIntr::I2CLogs_t	
[643]	I2C_LOG_SB_MASTER_TX	0x20000315	HAL::I2CIntr::I2CLogs_t	
[644]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x20000316	HAL::I2CIntr::I2CLogs_t	
[645]	I2C_LOG_TXE	0x20000317	HAL::I2CIntr::I2CLogs_t	
[646]	I2C_LOG_TXE	0x20000318	HAL::I2CIntr::I2CLogs_t	
[647]	I2C_LOG_TXE_DONE	0x20000319	HAL::I2CIntr::I2CLogs_t	
[648]	I2C_LOG_TXN_DONE	0x2000031A	HAL::I2CIntr::I2CLogs_t	
[649]	I2C_LOG_TXN_DEQUEUED	0x2000031B	HAL::I2CIntr::I2CLogs_t	
[650]	I2C_LOG_TXE	0x2000031C	HAL::I2CIntr::I2CLogs_t	
[651]	I2C_LOG_TXE_MASTER_TX_REPEATED_START	0x2000031D	HAL::I2CIntr::I2CLogs_t	
[652]	I2C_LOG_SB_MASTER_RX_REPEATED_START	0x2000031E	HAL::I2CIntr::I2CLogs_t	
[653]	I2C_LOG_ADDR_INTR_MASTER_RX_SIZE_2	0x2000031F	HAL::I2CIntr::I2CLogs_t	
[654]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000320	HAL::I2CIntr::I2CLogs_t	
[655]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000321	HAL::I2CIntr::I2CLogs_t	
[656]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000322	HAL::I2CIntr::I2CLogs_t	
[657]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000323	HAL::I2CIntr::I2CLogs_t	
[658]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000324	HAL::I2CIntr::I2CLogs_t	
[659]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000325	HAL::I2CIntr::I2CLogs_t	
[660]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000326	HAL::I2CIntr::I2CLogs_t	
[661]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000327	HAL::I2CIntr::I2CLogs_t	
[662]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000328	HAL::I2CIntr::I2CLogs_t	
[663]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000329	HAL::I2CIntr::I2CLogs_t	
[664]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000032A	HAL::I2CIntr::I2CLogs_t	
[665]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000032B	HAL::I2CIntr::I2CLogs_t	
[666]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000032C	HAL::I2CIntr::I2CLogs_t	
[667]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000032D	HAL::I2CIntr::I2CLogs_t	
[668]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000032E	HAL::I2CIntr::I2CLogs_t	
[669]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000032F	HAL::I2CIntr::I2CLogs_t	
[670]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000330	HAL::I2CIntr::I2CLogs_t	
[671]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000331	HAL::I2CIntr::I2CLogs_t	
[672]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000332	HAL::I2CIntr::I2CLogs_t	
[673]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000333	HAL::I2CIntr::I2CLogs_t	
[674]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000334	HAL::I2CIntr::I2CLogs_t	
[675]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000335	HAL::I2CIntr::I2CLogs_t	
[676]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000336	HAL::I2CIntr::I2CLogs_t	
[677]	I2C_LOG_BTF_MASTER_RX_SIZE_2_STOPED	0x20000337	HAL::I2CIntr::I2CLogs_t	
[678]	I2C_LOG_TXN_DONE	0x20000338	HAL::I2CIntr::I2CLogs_t	
[679]	I2C_LOG_TXN_DEQUEUED	0x20000339	HAL::I2CIntr::I2CLogs_t	
[680]	I2C_LOG_SB_MASTER_TX	0x2000033A	HAL::I2CIntr::I2CLogs_t	
[681]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x2000033B	HAL::I2CIntr::I2CLogs_t	
[682]	I2C_LOG_TXE_MASTER_TX_REPEATED_START	0x2000033C	HAL::I2CIntr::I2CLogs_t	
[683]	I2C_LOG_SB_MASTER_RX_REPEATED_START	0x2000033D	HAL::I2CIntr::I2CLogs_t	
[684]	I2C_LOG_ADDR_INTR_MASTER_RX_SIZE_2	0x2000033E	HAL::I2CIntr::I2CLogs_t	
[685]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000033F	HAL::I2CIntr::I2CLogs_t	
[686]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000340	HAL::I2CIntr::I2CLogs_t	
[687]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000341	HAL::I2CIntr::I2CLogs_t	
[688]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000342	HAL::I2CIntr::I2CLogs_t	
[689]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000343	HAL::I2CIntr::I2CLogs_t	
[690]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000344	HAL::I2CIntr::I2CLogs_t	
[691]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000345	HAL::I2CIntr::I2CLogs_t	
[692]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000346	HAL::I2CIntr::I2CLogs_t	
[693]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000347	HAL::I2CIntr::I2CLogs_t	
[694]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000348	HAL::I2CIntr::I2CLogs_t	
[695]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000349	HAL::I2CIntr::I2CLogs_t	
[696]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000034A	HAL::I2CIntr::I2CLogs_t	
[697]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000034B	HAL::I2CIntr::I2CLogs_t	
[698]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000034C	HAL::I2CIntr::I2CLogs_t	
[699]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000034D	HAL::I2CIntr::I2CLogs_t	
[700]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000034E	HAL::I2CIntr::I2CLogs_t	
[701]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000034F	HAL::I2CIntr::I2CLogs_t	
[702]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000350	HAL::I2CIntr::I2CLogs_t	
[703]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000351	HAL::I2CIntr::I2CLogs_t	
[704]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000352	HAL::I2CIntr::I2CLogs_t	
[705]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000353	HAL::I2CIntr::I2CLogs_t	
[706]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000354	HAL::I2CIntr::I2CLogs_t	
[707]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000355	HAL::I2CIntr::I2CLogs_t	
[708]	I2C_LOG_BTF_MASTER_RX_SIZE_2_STOPED	0x20000356	HAL::I2CIntr::I2CLogs_t	
[709]	I2C_LOG_TXN_DONE	0x20000357	HAL::I2CIntr::I2CLogs_t	
[710]	I2C_LOG_TXN_DEQUEUED	0x20000358	HAL::I2CIntr::I2CLogs_t	
[711]	I2C_LOG_SB_MASTER_TX	0x20000359	HAL::I2CIntr::I2CLogs_t	
[712]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x2000035A	HAL::I2CIntr::I2CLogs_t	
[713]	I2C_LOG_TXE	0x2000035B	HAL::I2CIntr::I2CLogs_t	
[714]	I2C_LOG_TXE	0x2000035C	HAL::I2CIntr::I2CLogs_t	
[715]	I2C_LOG_TXE_DONE	0x2000035D	HAL::I2CIntr::I2CLogs_t	
[716]	I2C_LOG_TXN_DONE	0x2000035E	HAL::I2CIntr::I2CLogs_t	
[717]	I2C_LOG_TXN_DEQUEUED	0x2000035F	HAL::I2CIntr::I2CLogs_t	
[718]	I2C_LOG_TXE	0x20000360	HAL::I2CIntr::I2CLogs_t	
[719]	I2C_LOG_TXE_MASTER_TX_REPEATED_START	0x20000361	HAL::I2CIntr::I2CLogs_t	
[720]	I2C_LOG_SB_MASTER_RX_REPEATED_START	0x20000362	HAL::I2CIntr::I2CLogs_t	
[721]	I2C_LOG_ADDR_INTR_MASTER_RX_SIZE_2	0x20000363	HAL::I2CIntr::I2CLogs_t	
[722]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000364	HAL::I2CIntr::I2CLogs_t	
[723]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000365	HAL::I2CIntr::I2CLogs_t	
[724]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000366	HAL::I2CIntr::I2CLogs_t	
[725]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000367	HAL::I2CIntr::I2CLogs_t	
[726]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000368	HAL::I2CIntr::I2CLogs_t	
[727]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000369	HAL::I2CIntr::I2CLogs_t	
[728]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000036A	HAL::I2CIntr::I2CLogs_t	
[729]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000036B	HAL::I2CIntr::I2CLogs_t	
[730]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000036C	HAL::I2CIntr::I2CLogs_t	
[731]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000036D	HAL::I2CIntr::I2CLogs_t	
[732]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000036E	HAL::I2CIntr::I2CLogs_t	
[733]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000036F	HAL::I2CIntr::I2CLogs_t	
[734]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000370	HAL::I2CIntr::I2CLogs_t	
[735]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000371	HAL::I2CIntr::I2CLogs_t	
[736]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000372	HAL::I2CIntr::I2CLogs_t	
[737]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000373	HAL::I2CIntr::I2CLogs_t	
[738]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000374	HAL::I2CIntr::I2CLogs_t	
[739]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000375	HAL::I2CIntr::I2CLogs_t	
[740]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000376	HAL::I2CIntr::I2CLogs_t	
[741]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000377	HAL::I2CIntr::I2CLogs_t	
[742]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000378	HAL::I2CIntr::I2CLogs_t	
[743]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000379	HAL::I2CIntr::I2CLogs_t	
[744]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000037A	HAL::I2CIntr::I2CLogs_t	
[745]	I2C_LOG_BTF_MASTER_RX_SIZE_2_STOPED	0x2000037B	HAL::I2CIntr::I2CLogs_t	
[746]	I2C_LOG_TXN_DONE	0x2000037C	HAL::I2CIntr::I2CLogs_t	
[747]	I2C_LOG_TXN_DEQUEUED	0x2000037D	HAL::I2CIntr::I2CLogs_t	
[748]	I2C_LOG_SB_MASTER_TX	0x2000037E	HAL::I2CIntr::I2CLogs_t	
[749]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x2000037F	HAL::I2CIntr::I2CLogs_t	
[750]	I2C_LOG_TXE_MASTER_TX_REPEATED_START	0x20000380	HAL::I2CIntr::I2CLogs_t	
[751]	I2C_LOG_SB_MASTER_RX_REPEATED_START	0x20000381	HAL::I2CIntr::I2CLogs_t	
[752]	I2C_LOG_ADDR_INTR_MASTER_RX_SIZE_2	0x20000382	HAL::I2CIntr::I2CLogs_t	
[753]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000383	HAL::I2CIntr::I2CLogs_t	
[754]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000384	HAL::I2CIntr::I2CLogs_t	
[755]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000385	HAL::I2CIntr::I2CLogs_t	
[756]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000386	HAL::I2CIntr::I2CLogs_t	
[757]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000387	HAL::I2CIntr::I2CLogs_t	
[758]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000388	HAL::I2CIntr::I2CLogs_t	
[759]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000389	HAL::I2CIntr::I2CLogs_t	
[760]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000038A	HAL::I2CIntr::I2CLogs_t	
[761]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000038B	HAL::I2CIntr::I2CLogs_t	
[762]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000038C	HAL::I2CIntr::I2CLogs_t	
[763]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000038D	HAL::I2CIntr::I2CLogs_t	
[764]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000038E	HAL::I2CIntr::I2CLogs_t	
[765]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000038F	HAL::I2CIntr::I2CLogs_t	
[766]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000390	HAL::I2CIntr::I2CLogs_t	
[767]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000391	HAL::I2CIntr::I2CLogs_t	
[768]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000392	HAL::I2CIntr::I2CLogs_t	
[769]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000393	HAL::I2CIntr::I2CLogs_t	
[770]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000394	HAL::I2CIntr::I2CLogs_t	
[771]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000395	HAL::I2CIntr::I2CLogs_t	
[772]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000396	HAL::I2CIntr::I2CLogs_t	
[773]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000397	HAL::I2CIntr::I2CLogs_t	
[774]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000398	HAL::I2CIntr::I2CLogs_t	
[775]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000399	HAL::I2CIntr::I2CLogs_t	
[776]	I2C_LOG_BTF_MASTER_RX_SIZE_2_STOPED	0x2000039A	HAL::I2CIntr::I2CLogs_t	
[777]	I2C_LOG_TXN_DONE	0x2000039B	HAL::I2CIntr::I2CLogs_t	
[778]	I2C_LOG_TXN_DEQUEUED	0x2000039C	HAL::I2CIntr::I2CLogs_t	
[779]	I2C_LOG_SB_MASTER_TX	0x2000039D	HAL::I2CIntr::I2CLogs_t	
[780]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x2000039E	HAL::I2CIntr::I2CLogs_t	
[781]	I2C_LOG_TXE	0x2000039F	HAL::I2CIntr::I2CLogs_t	
[782]	I2C_LOG_TXE	0x200003A0	HAL::I2CIntr::I2CLogs_t	
