Expression	Value	Location	Type	
Highs	Error (col 1): Unknown or ambiguous symbol. Highs			
Lows	Error (col 1): Unknown or ambiguous symbol. Lows			
Highs_A1	Error (col 1): Unknown or ambiguous symbol. Highs_A1			
[233]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000017B	HAL::I2CIntr::I2CLogs_t	
[234]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000017C	HAL::I2CIntr::I2CLogs_t	
[235]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000017D	HAL::I2CIntr::I2CLogs_t	
[236]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000017E	HAL::I2CIntr::I2CLogs_t	
[237]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000017F	HAL::I2CIntr::I2CLogs_t	
[238]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000180	HAL::I2CIntr::I2CLogs_t	
[239]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000181	HAL::I2CIntr::I2CLogs_t	
[240]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000182	HAL::I2CIntr::I2CLogs_t	
[241]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000183	HAL::I2CIntr::I2CLogs_t	
[242]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000184	HAL::I2CIntr::I2CLogs_t	
[243]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000185	HAL::I2CIntr::I2CLogs_t	
[244]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000186	HAL::I2CIntr::I2CLogs_t	
[245]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000187	HAL::I2CIntr::I2CLogs_t	
[246]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000188	HAL::I2CIntr::I2CLogs_t	
[247]	I2C_LOG_BTF_MASTER_RX_SIZE_2_STOPED	0x20000189	HAL::I2CIntr::I2CLogs_t	
[248]	I2C_LOG_TXN_DONE	0x2000018A	HAL::I2CIntr::I2CLogs_t	
[249]	I2C_LOG_TXN_DEQUEUED	0x2000018B	HAL::I2CIntr::I2CLogs_t	
[250]	I2C_LOG_SB_MASTER_TX	0x2000018C	HAL::I2CIntr::I2CLogs_t	
[251]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x2000018D	HAL::I2CIntr::I2CLogs_t	
[252]	I2C_LOG_TXE	0x2000018E	HAL::I2CIntr::I2CLogs_t	
