Expression	Value	Location	Type	
_TxQueueEmptyCallback	0x00000000	0x2000073C	class HAL::Callback *	
_RxQueueFullCallback	0x00000000	0x20000740	class HAL::Callback *	
_SlaveTxDoneCallback	0x00000000	0x20000744	class HAL::Callback *	
_SlaveRxDoneCallback	0x00000000	0x20000748	class HAL::Callback *	
_I2CTxnQueue	<class>	0x2000074C	HAL::I2CIntr::I2CTxnQueue_t	
_pCurrentTxn	0x00000000	0x20000780	HAL::I2CIntr::Transaction_t *	
I2CStates	<array>". \v7..!\a.7. \v7.. \v7.. \v7..!\n...7. \v7..!\n...7. \v7..!\n...7. \v7..."	0x20000784	HAL::I2CIntr::I2CLogs_t[1500]	
[0]	I2C_LOG_START_MASTER_TX	0x20000784	HAL::I2CIntr::I2CLogs_t	
[1]	I2C_LOG_SB_MASTER_TX	0x20000785	HAL::I2CIntr::I2CLogs_t	
[2]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x20000786	HAL::I2CIntr::I2CLogs_t	
[3]	I2C_LOG_TXN_QUEUE_EMPTY	0x20000787	HAL::I2CIntr::I2CLogs_t	
[4]	I2C_LOG_TXE_DONE	0x20000788	HAL::I2CIntr::I2CLogs_t	
[5]	I2C_LOG_START_MASTER_RX	0x20000789	HAL::I2CIntr::I2CLogs_t	
[6]	I2C_LOG_SB_MASTER_RX	0x2000078A	HAL::I2CIntr::I2CLogs_t	
[7]	I2C_LOG_ADDR_INTR_MASTER_RX_SIZE_1	0x2000078B	HAL::I2CIntr::I2CLogs_t	
[8]	I2C_LOG_RXNE_MASTER_SIZE_1	0x2000078C	HAL::I2CIntr::I2CLogs_t	
[9]	I2C_LOG_TXN_QUEUE_EMPTY	0x2000078D	HAL::I2CIntr::I2CLogs_t	
[10]	I2C_LOG_START_MASTER_TX	0x2000078E	HAL::I2CIntr::I2CLogs_t	
[11]	I2C_LOG_SB_MASTER_TX	0x2000078F	HAL::I2CIntr::I2CLogs_t	
[12]	I2C_LOG_ADDR_INTR_MASTER_TX_SIZE_GT_0	0x20000790	HAL::I2CIntr::I2CLogs_t	
[13]	I2C_LOG_TXN_QUEUE_EMPTY	0x20000791	HAL::I2CIntr::I2CLogs_t	
[14]	I2C_LOG_TXE_DONE	0x20000792	HAL::I2CIntr::I2CLogs_t	
[15]	I2C_LOG_START_MASTER_TX	0x20000793	HAL::I2CIntr::I2CLogs_t	
